conversation_id,customer_message,agent_response
654,Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Provide your details here: and my team will escalate the order to Amazon Logistics for feedback.
695,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here:
2561,Erm I bought this item for £5.99... why am I only getting £1.67 back?!,I'm sorry you didn't receive the refund amount you expected. Please check here for more info:
3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying","Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page:"
4868,Ordered one simple camera from 3x and all the 3x it’s been lost in transit. Ha you’ve got to be kidding me.. 😒😒😒😒😒,"I'm very sorry about your lost package, Lodi! We'd like to help! Please reach out to us here:"
5139,Just ordered . Let’s see what gets here first. My package from which has been “On It’s Way” since 1:22am or the food. #TheRaceIsOn,I'm sorry for this wait. Has the tracking information on your order updated: Deliveries continue through to 8PM so please keep us in the loop on your order's arrival. Thank you.
5221,Offer of the millennium to save Re.1 Just wow😱😱,"Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you the lowest price, may result in fluctuations in our prices over time."
5228,what about the illusion of quality?,I wasn't able to comprehend your concern. I would like you to elaborate so that we can help you accordingly.
5324,The deals not showing up for me...?,This promotion is only valid for new Amazon Music Unlimited subscribers. Have you tried or subscribed to Music Unlimited in the past?
8521,Hasta que al fin llegó #BrBa,"Sin dudas, el mejor lugar para comer pollo frito. 🍗 ¡Nos alegra saber que recibiste tu pedido, Carl! :D"
8529,Thank you but unsure how that’s going to help as just says “put for delivery and arriving today when I know it proberly won’t :/,"I can understand your reluctance, but we can provide you with additional options depending on who the seller is."
10658,"Hey yall. Why is my checkout not working? I click ""checkout with fresh"" and it takes me to an error page. What's the deal?",I'm sorry to hear about the trouble. We'd like to take a closer look into this for you here:
10662,where’s my damn nutribullet,I'm sorry you haven't received your item! Can you tell us who the carrier is? Found here:
11065,"it was doing this a few days ago and a factory reset fixed it, for two days. A hard reboot with card in or out does not resolve.","That's odd! We'd like to help further with this. When you can, please reach out to us here:"
11579,Please do it fast,"I get your concern, Hussain. As requested, please reply to the correspondence sent by our specialist team. (1/3)"
12494,I already emailed y’all.,"I'm sorry about the link. For a faster response, contact us by phone here: without signing in."
12494,Is that a 24 hr line,Yes. Our main customer service line is open 24 hours a day.
12509,thanks for such thoughtful packing. Must be why it takes so long to ship #whoneedspeanuts #oversized,That does seem excessive. Help us improve by leaving order specific packaging feedback here:
13878,all emails already shared with earlier tweet.,Kindly share your details in the link given earlier and we'll be sure to help you in getting this issue resolved.
15442,Hey so my package has not arrived yet. Can I get this sorted please,"While we can't access order or account details through social media, we'd still like to help! Please reach us directly via phone or chat so we can investigate:"
16784,That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..! Ur seller is even not taking calls nw,We'll get back to you as soon as we have an update from our team. (2/2)
16813,This says will be reaching please can some one really #help me I promise wont make any further purchase with #Amazon #help #shameful,"Aadil, please reply to the email you've received from our team so that we can assist you accordingly."
16866,Order id-407-2808023-6902735 Mails already done,and send us your details using the link provided by 'SV' and I will look into the issue right away.(2/3)
17186,Kindly share my contact number 9800019281 to ur team to contact me,We're unable to arrange a callback for you over Twitter. Please make a request using the link above and we'll oblige. 1/2
17214,Pathetic reply by your caller,Did we happen to miss the estimated delivery date?
17234,Going to take this in the consumer court...total fraud from amazon i will sue you guys for this ...,"We're unable to verify any detail over Twitter, Anjana. Please respond to our email so we could take it from there."
17262,"one order, two consignments. one delivered othr returned twice coz incorrect address. raise. last time exectiv gav assurance but no good.",here: and we'll get back to you soon. 2/2
18139,"Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122","Please don't provide your order details, we consider it to be personal info. Our page is visible to the public. 2/2"
18923,Is there any update??,"We've responded to you via email, Saurabh. Please reply to the email sent for more information."
18929,You people always escalated issue and for another 24 hours.kindly do something substantial.still issue is unresolved. such a poor service.,Our team is currently working on your issue and will be resolved at the earliest. (1/2)
18945,Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it.,Our Twitter page is visible to public. 3/3
19157,Its already been 21 days regarding order #4__credit_card__ and Order #4__credit_card__. Still you say no need to wait for longer delivery,"Apologies for the experience, Kamran. Please share your details from the link provided. We'll check this & assist. (1/2)"
19161,Amazon is the best :),Wohooo! That's what we'd love to hear. Thank you for your kind words.
19185,"For now please just tend to my new orders I just are those 300,000 pairs of gloves selling?",We can't see your orders from here unfortunately but if you use the link sent we can help :)
19447,Name of account -avaneesh Kumar chaubey Contact number -8269451504 Order number - 405-3324870-8447534 Product - titan watch,We don't have access to your account over Twitter. Please share your details in the link given earlier by 'GS'. (1/2)
19477,"broke family& friends trust.Ordered a product month ago,return/refund requested on same month, but still waiting for pickup & refund",as possible. Kindly drop your details here: and I'll get back to you. 2/2
20467,I already fill the form..,Thanks a bunch for sharing the details. We'll reach out to you at the earliest.
21015,Hey I have filled the form multiple times do I look like a fool to fill again and again. Give a resolution that's it,"As you have filled the form, you will receive an email here:"
21397,"😂😂😂 Wie gesagt euch ein schönen restlichen Feiertag, auch wenn ich Supportet (nennt man das so?) 😂","Danke, dir auch. Wir supporten dann mal fleißig weiter 😄"
21437,Best trick by amozon first send damage priduct and after arrange self pick up 95 % people not ready for self return. Mind blowing amazon,"I do get your concern, however, please respond to the email you've received from us and we'll check this."
21459,Friend has received his Amazon Echo Plus shipment in the morning today. Still waiting for my dot.,Our products are shipped on time so that they can reach you by the estimated delivery date. 1/2
21490,frnd ordered kindle wich was not delivered.He canceled order & U agreed. Bt aftr a mnth U r denying to give refund. Disappointing,here: and I’ll contact you soon. 2/2
21542,Good morning Amazon idiots... third day in a row... today's delivery guys number 70385 67720....can u idiots call him and ask him to deliver... Bunch of incompetetive morons...get this sorted out today...n don't use empathy n sympathy,"I get your concern, please check for an email from our team here:"
21542,Are you guys nuts? How can u ask me to wait... bloddy idiots from past three days I am waiting...what r u guys? Stupid assholes? U don't have integrity,registered email account post submitting the form here: can you check for the following 2/3
21901,"can I pls have a direct email address for someone with a brain for your love film by post service,online help proving impossible",Hi Tim- For all queries you can reach us directly via the below link: Thanks.
22518,"You have all the information you need - just reply here thanks. People get in touch this way because that is what they prefer - no forms, no phone calls, so please respond.","I have escalated your feedback about ""Please Let Me Go"" for correction. If we can help w/ anything else, let us know! 2/2"
22541,They are saying that amazon took the courier scanned it and returned.. they have no idea on how the box is empty,and they should be able to help you out. (2/2)
22542,Hi I returned my order and I followed the proper procedure but got back an empty dabba from post office. PFA photos,I get your concern if you have self returned the package kindly connect with the courier as they'll be able to help you with 1/2
23963,No. I’ve signed in and it still says due 31st,Sorry to hear that. We'll be happy to look into that for you. Please reach out to us here:
24976,I am receiving the same mails... Amazon is not at all cooperating..,"For details, you may refer here: 2/2"
24986,order 406-5346056-8286767 I want a refund for the product.,Sincere apologies for the mess. Please fill this form: so we could get this sorted soon. 1/2
25015,Amazon is just making me fool from last 10 days ...is there any system,Sorry for any inconvenience. Could you confirm sharing your details in the link provided above by ?
25839,Help I registered for the morrissey presale but on event page it says I'm not. Concerned for 10am!,"Hi, did you receive a confirmation message when you registered? Did you access using the same log in details?"
25918,My email interaction with your cs is on...reply pending. Just escalating the matter....to get a positive reply. Please check your cs email.,We'll be sure to look into it. Do keep us posted for any further concerns.
